        Time / ns                E-Field (Z; 160 0 0) [1]/real
               3.5486958                   -0.0014869588
               3.5652014                    0.0032348621
               3.5817069                    0.0077499164
               3.5982125                     0.011272588
                3.614718                     0.013216523
               3.6312236                     0.013257149
               3.6477292                     0.011351896
               3.6642347                    0.0077255572
               3.6807403                    0.0028269636
               3.6972459                   -0.0027303638
               3.7137514                   -0.0082396824
                3.730257                    -0.012984517
               3.7467625                    -0.016323231
               3.7632681                    -0.017769876
               3.7797737                    -0.017066196
               3.7962792                    -0.014228486
               3.8127848                   -0.0095597048
               3.8292903                   -0.0036224476
               3.8457959                    0.0028296801
               3.8623015                    0.0089550285
                3.878807                     0.013947426
               3.8953126                     0.017158132
               3.9118182                     0.018194062
               3.9283237                     0.016978182
               3.9448293                     0.013756989
               3.9613348                    0.0090520604
               3.9778404                    0.0035696276
                3.994346                   -0.0019176472
               4.0108515                   -0.0066953375
               4.0273571                    -0.010213322
               4.0438627                     -0.01215744
               4.0603682                    -0.012474314
               4.0768738                    -0.011349365
               4.0933793                   -0.0091490154
               4.1098849                   -0.0063363332
               4.1263905                   -0.0033807275
                4.142896                  -0.00068238619
               4.1594016                    0.0014819361
               4.1759071                    0.0029826161
               4.1924127                    0.0038279181
               4.2089183                    0.0041323766
               4.2254238                    0.0040704481
               4.2419294                    0.0038267704
                4.258435                    0.0035548559
               4.2749405                    0.0033486126
               4.2914461                     0.003232272
               4.3079516                    0.0031673695
               4.3244572                    0.0030705785
               4.3409628                    0.0028406737
               4.3574683                    0.0023864166
               4.3739739                    0.0016489045
               4.3904795                   0.00061877428
                4.406985                  -0.00065660114
               4.4234906                   -0.0020764983
               4.4399961                   -0.0034975501
               4.4565017                   -0.0047523217
               4.4730073                   -0.0056716906
               4.4895128                   -0.0061087215
               4.5060184                   -0.0059628007
               4.5225239                   -0.0051974726
               4.5390295                   -0.0038514756
               4.5555351                   -0.0020414087
               4.5720406                  4.8940623e-005
               4.5885462                    0.0021886674
               4.6050518                    0.0041279949
               4.6215573                    0.0056334474
               4.6380629                    0.0065206093
               4.6545684                    0.0066815613
                4.671074                    0.0061031167
               4.6875796                     0.004868704
               4.7040851                    0.0031463348
               4.7205907                    0.0011637607
               4.7370962                  -0.00082676918
               4.7536018                   -0.0025849702
               4.7701074                   -0.0039165699
               4.7866129                   -0.0046987873
               4.8031185                    -0.004891041
               4.8196241                   -0.0045338008
               4.8361296                   -0.0037344448
               4.8526352                    -0.002642824
               4.8691407                   -0.0014255345
               4.8856463                  -0.00023987896
               4.9021519                   0.00078716663
               4.9186574                    0.0015696376
                4.935163                    0.0020669151
               4.9516686                    0.0022797728
               4.9681741                    0.0022400964
               4.9846797                    0.0020009578
               5.0011852                    0.0016246692
               5.0176908                    0.0011731092
               5.0341964                   0.00070359401
               5.0507019                   0.00026380799
               5.0672075                  -0.00011020737
                5.083713                  -0.00039257521
               5.1002186                  -0.00056957346
               5.1167242                  -0.00064016724
               5.1332297                  -0.00061479638
               5.1497353                  -0.00051573358
               5.1662409                  -0.00037406032
               5.1827464                  -0.00022518081
                5.199252                  -0.00010412918
               5.2157575                  -3.826413e-005
               5.2322631                 -4.2241699e-005
               5.2487687                  -0.00011502395
               5.2652742                  -0.00023844783
               5.2817798                  -0.00038144334
               5.2982854                  -0.00050597212
               5.3147909                  -0.00057433049
               5.3312965                  -0.00055883411
                5.347802                  -0.00044742516
               5.3643076                  -0.00024662285
               5.3808132                  1.7901421e-005
               5.3973187                   0.00030735122
               5.4138243                   0.00057686001
               5.4303298                   0.00078318236
               5.4468354                     0.000894608
                5.463341                   0.00089571875
               5.4798465                   0.00078888087
               5.4963521                   0.00059464012
               5.5128577                   0.00034591414
               5.5293632                  8.0624023e-005
               5.5458688                  -0.00016426462
               5.5623743                  -0.00035969448
               5.5788799                  -0.00048852067
               5.5953855                  -0.00054622009
                5.611891                  -0.00053998242
               5.6283966                  -0.00048493168
               5.6449022                  -0.00039988853
               5.6614077                  -0.00030326286
               5.6779133                  -0.00020928829
               5.6944188                  -0.00012696657
               5.7109244                 -5.9850572e-005
                 5.72743                 -6.7703433e-006
               5.7439355                  3.5578035e-005
               5.7604411                   7.103855e-005
               5.7769466                   0.00010263662
               5.7934522                   0.00013152181
               5.8099578                   0.00015764363
               5.8264633                   0.00017975905
               5.8429689                   0.00019604466
               5.8594745                   0.00020569957
                 5.87598                   0.00020835352
               5.8924856                   0.00020378694
               5.9089911                    0.0001924042
               5.9254967                   0.00017402644
               5.9420023                   0.00014763642
               5.9585078                   0.00011200774
               5.9750134                  6.5793543e-005
               5.9915189                  8.6075632e-006
               6.0080245                 -5.8055627e-005
               6.0245301                  -0.00013047487

