        Time / ns                E-Field (Z; 80 0 0) [1]/real
----------------------------------------------------------------------
                       0                               0
             0.016505562                               0
             0.033011124                               0
             0.049516686                               0
             0.066022247                               0
             0.082527809                               0
             0.099033371                               0
              0.11553893                               0
              0.13204449                  1.2164868e-009
              0.14855006                  6.6078971e-009
              0.16505562                  2.8980295e-008
              0.18156118                  1.0056413e-007
              0.19806674                   2.817128e-007
               0.2145723                  6.9460467e-007
              0.23107787                   1.463156e-006
              0.24758343                  2.5291088e-006
              0.26408899                   3.618232e-006
              0.28059455                  4.2311467e-006
              0.29710011                  3.4847731e-006
              0.31360568                  2.7649222e-007
              0.33011124                  -6.382942e-006
               0.3466168                 -1.7078872e-005
              0.36312236                 -3.1056475e-005
              0.37962792                 -4.5679847e-005
              0.39613348                 -5.7172183e-005
              0.41263905                  -6.030282e-005
              0.42914461                 -4.7604868e-005
              0.44565017                 -1.1338311e-005
              0.46215573                  5.4011143e-005
              0.47866129                   0.00015010116
              0.49516686                   0.00027054892
              0.51167242                   0.00039666251
              0.52817798                   0.00049699145
              0.54468354                   0.00052737937
               0.5611891                   0.00043339794
              0.57769466                   0.00016186675
              0.59420023                   -0.0003223184
              0.61070579                   -0.0010188974
              0.62721135                   -0.0018716612
              0.64371691                   -0.0027492999
              0.66022247                   -0.0034392761
              0.67672804                   -0.0036599977
               0.6932336                   -0.0030964114
              0.70973916                   -0.0014650813
              0.72624472                    0.0013958711
              0.74275028                    0.0054245552
              0.75925584                     0.010238737
              0.77576141                      0.01507476
              0.79226697                     0.018795796
              0.80877253                     0.019996213
              0.82527809                     0.017220527
              0.84178365                    0.0092938891
              0.85828922                   -0.0042735164
              0.87479478                    -0.022876568
              0.89130034                    -0.044497489
               0.9078059                    -0.065599258
              0.92431146                    -0.081338472
              0.94081703                     -0.08616627
              0.95732259                    -0.074823505
              0.97382815                    -0.043639419
              0.99033371                    0.0080690305
               1.0068393                     0.076789573
               1.0233448                      0.15414359
               1.0398504                      0.22708989
                1.056356                      0.27924072
               1.0728615                      0.29333841
               1.0893671                      0.25468866
               1.1058726                      0.15506151
               1.1223782                   -0.0036819421
               1.1388838                     -0.20712205
               1.1553893                     -0.42783805
               1.1718949                      -0.6276309
               1.1884005                     -0.76261217
                1.204906                     -0.79076745
               1.2214116                     -0.68095823
               1.2379171                     -0.42176159
               1.2544227                    -0.028214084
               1.2709283                      0.45543545
               1.2874338                      0.95839283
               1.3039394                       1.3919494
               1.3204449                       1.6634409
               1.3369505                       1.6936292
               1.3534561                       1.4345183
               1.3699616                      0.88399959
               1.3864672                     0.093785976
               1.4029728                     -0.83206625
               1.4194783                      -1.7491855
               1.4359839                      -2.4945611
               1.4524894                      -2.9148333
                1.468995                      -2.8963829
               1.4855006                      -2.3914201
               1.5020061                      -1.4344028
               1.5185117                     -0.14444547
               1.5350173                       1.2882248
               1.5515228                       2.6306707
               1.5680284                       3.6462925
               1.5845339                       4.1378054
               1.6010395                       3.9860951
               1.6175451                       3.1771203
               1.6340506                       1.8108803
               1.6505562                     0.089649973
               1.6670617                      -1.7133774
               1.6835673                      -3.2999803
               1.7000729                      -4.3992052
               1.7165784                      -4.8163878
                1.733084                      -4.4695417
               1.7495896                      -3.4059737
               1.7660951                       -1.795649
               1.7826007                      0.09771363
               1.7991062                       1.9625903
               1.8156118                       3.4941419
               1.8321174                       4.4471186
               1.8486229                       4.6774725
               1.8651285                        4.165233
               1.8816341                       3.0148581
               1.8981396                       1.4336065
               1.9146452                     -0.30743849
               1.9311507                      -1.9220232
               1.9476563                      -3.1578971
               1.9641619                      -3.8376862
               1.9806674                      -3.8846204
                1.997173                      -3.3294361
               2.0136785                       -2.298418
               2.0301841                     -0.98595918
               2.0466897                      0.38244108
               2.0631952                       1.5895691
               2.0797008                       2.4612739
               2.0962064                        2.891052
               2.1127119                       2.8511767
               2.1292175                        2.389783
                2.145723                       1.6158198
               2.1622286                      0.67567388
               2.1787342                     -0.27373466
               2.1952397                      -1.0905358
               2.2117453                        -1.66814
               2.2282508                      -1.9474978
               2.2447564                      -1.9204325
                2.261262                      -1.6246924
               2.2777675                       -1.132638
               2.2942731                     -0.53620909
               2.3107787                     0.068979269
               2.3272842                      0.59786257
               2.3437898                      0.98660512
               2.3602953                       1.1987049
               2.3768009                       1.2263589
               2.3933065                        1.087655
                2.409812                      0.82064704
